Organism,Phylym,Gender,Specie,Collection,Color of the mycelium,Pigmentation of the medium,Outline of the colony,Density of the mycelium,Aerial mycelium,Special structures,Exudates,Meiospores,Septa,Mitospores,Sporogenesis,Color of the mitospores,Form of the mitospores,Number of cells,Disposition of mitospores,Regroupment of mitospores,Color of the colony,Form of the blastospores,Photo genre,Photo micro genre,Dessus,Dessous,Photo micro
Filamentous,Ascomycète,Aphanomyces , cochiades,GEVES,Brown/black,No,regular,,,,,,,,,,,,,,,,dessus_Aphanomyces_cochiades,,dessus_Aphanomyces_cochiades,,
Filamentous,Ascomycète,Ascochyta,pisi,FungiSem,Brown/black,No,,,,,,,,,,,,,,,,,dessus_Ascochyta_pisi,,dessus_Ascochyta_pisi,,
Filamentous,Ascomycète,Aspergillus,niger,FungiSem,White/yellow,No,regular,,,,,,,,,,,,,,,,dessus_Aspergillus_niger,micro_Aspergillus_terreus,dessus_Aspergillus_niger,,bino_Aspergillus_niger
Filamentous,Ascomycète,Aspergillus,terreus,FungiSem,White/grey,Yes,regular,,,,,,,,,,,,,,,,dessus_Aspergillus_niger,micro_Aspergillus_terreus,dessus_Aspergillus_terreus,,micro_Aspergillus_terreus
Filamentous,Ascomycète,Beauveria ,bassiana,FungiSem,Brown/black,No,,,,,,,,,,,,,,,,,dessus_Beauvaria_bassiana,micro_Beauvaria_bassiana,dessus_Beauvaria_bassiana,dessous_Beauvaria_bassiana,micro_Beauvaria_bassiana
Filamentous,Ascomycète,Boeremia,strasseri,FungiSem,White/grey,No,,,,,,,,,,,,,,,,,dessus_Boeremia_strasseri,,dessus_Boeremia_strasseri,dessous_Boeremia_strasseri,
Filamentous,Ascomycète,Boeremia,exigua,FungiSem,White/grey,No,,,,,,,,,,,,,,,,,dessus_Boeremia_strasseri,,dessus_Boeremia_exigua,dessous_Boeremia_exigua,
Filamentous,Ascomycète,Botryosphaeria,obtusa,FungiSem,White/grey,No,,,,,,,,,,,,,,,,,dessus_Botryosphaeria_obtusa,,dessus_Botryosphaeria_obtusa,dessous_Botryosphaeria_obtusa,
Filamentous,Ascomycète,Botrytis,Aclada,GEVES,White/grey,No,,,,No,No,No,Yes,Yes,Free,Apparent,Amérospore ,1-1,,Group in bouquet,,,dessus_Botrytis_cinerea,micro2_Botrytis_cinerea,dessus_Botrytis_aclada,,
Filamentous,Ascomycète,Botrytis,Allii,GEVES,White/grey,No,,,,No,No,No,Yes,Yes,Free,Apparent,Amérospore ,1-1,,Group in bouquet,,,dessus_Botrytis_cinerea,micro2_Botrytis_cinerea,dessus_Botrytis_allii,,micro_Botrytis_allii
Filamentous,Ascomycète,Botrytis,Byssoidea,GEVES,White/grey,No,,,,No,No,No,Yes,Yes,Free,Apparent,Amérospore ,1-1,,Group in bouquet,,,dessus_Botrytis_cinerea,micro2_Botrytis_cinerea,dessus_Botrytis_byssoidea,,
Filamentous,Ascomycète,Botrytis,fabae,GEVES,White/grey,No,,,,Sclérote,No,No,Yes,Yes,Free,Apparent,Amérospore ,1-1,,Group in bouquet,,,dessus_Botrytis_cinerea,micro2_Botrytis_cinerea,dessus_Botrytis_fabae,,micro_Botrytis_fabae
Filamentous,Ascomycète,Botrytis,squamosa,GEVES,White/grey,No,,,,Sclérote,No,No,Yes,Yes,Free,Apparent,Amérospore ,1-1,,Group in bouquet,,,dessus_Botrytis_cinerea,micro2_Botrytis_cinerea,,,micro_Botrytis_squamosa
Filamentous,Ascomycète,Botrytis,cinerea,FungiSem,White/grey,No,regular,dense,No,Sclérote,,No,Yes,Yes,Free,Apparent,Amérospore ,1-1,,Group in bouquet,,,dessus_Botrytis_cinerea,micro2_Botrytis_cinerea,dessus_Botrytis_cinerea,,micro_Botrytis_cinerea
Levuroïde,,Candida ,albicans,FungiSem,,,,,,,,,,,,,,,,,Blanc,Circular,dessus_Candida_albicans,micro_Candida_albicans,dessus_Candida_albicans,dessous_Candida_albicans,micro_Candida_albicans
Filamentous,Ascomycète,Cephalosporium,maydis,GEVES,White/grey,,,,,,,,,,,,,,,,,,dessus_Cephalosporium_maydis,,dessus_Cephalosporium_maydis,,
Filamentous,Ascomycète,Ceratobasidium,cereale,FungiSem,White/grey,No,,,,,,,,,,,,,,,,,dessus_Ceratobasidium_cereale ,,dessus_Ceratobasidium_cereale ,dessous_Ceratobasidium_cereale,
Filamentous,Ascomycète,Cladosporium,cladosporioides ,FungiSem,Brown/black,No,,,,,,,,,,,Amérospore ,1-1,,,,,dessus_cladosporium_sp,micro_Cladosporium_cladosporioides,dessus_Cladosporium_cladosporioides,dessous_Cladosporium_cladosporioides,micro_Cladosporium_cladosporioides
Filamentous,Ascomycète,Cladosporium,parahalotolerans,GEVES,Brown/black,Yes,,,,,,,,,,,Amérospore ,1-1,,,,,dessus_cladosporium_sp,micro_Cladosporium_parahalotolerans,dessus_Cladosporium_parahalotolerans,,micro_Cladosporium_parahalotolerans
Filamentous,Ascomycète,Clonostachys,Pinka,FungiSem,White/grey,No,,,,,,,,,,,,,,,,,dessus_Clonostachys_rosea,micro_Clonostachys_rosea,dessus_Clonostachys_rosea,,micro_Clonostachys_rosea
Filamentous,Ascomycète,Colletotrichum,lindemuthianum,GEVES,Brown/black,,,,,,,,,,,,,,,,,,,,,,
Filamentous,Ascomycète,Colletotrichum,gloeosporioides,GEVES,White/grey,,,,,,,,,,,,,,,,,,dessus_Colletotrichum_dematium,micro_Colletotrichum_lini,dessus_Colletotrichum_gloeosporioides,,micro_Colletotrichum_gloeosporioïdes
Filamentous,Ascomycète,Colletotrichum,lini,GEVES,White/yellow,,,,,,,,,,,,,,,,,,dessus_Colletotrichum_dematium,micro_Colletotrichum_lini,dessus_Colletotrichum_lini,,micro_Colletotrichum_lini
Filamentous,Ascomycète,Colletotrichum,lindemuthianum,GEVES,Brown/black,,,,,,,,,,,,,,,,,,dessus_Colletotrichum_dematium,micro_Colletotrichum_lini,dessus_Colletotrichum_lindemuthianum,dessous_Colletotrichum_lindemuthianum,micro_Colletotrichum_lindemuthianum
Filamentous,Ascomycète,Colletotrichum,dematium,GEVES,Brown/black,,,,,,,,,,,,,,,,,,dessus_Colletotrichum_dematium,micro_Colletotrichum_lini,dessus_Colletotrichum_dematium,,micro_Colletotrichum _dematium
Filamentous,Ascomycète,Colletotrichum,lupini,GEVES,White/grey,,,,,,,,,,,,,,,,,,dessus_Colletotrichum_dematium,micro_Colletotrichum_lini,dessus_Colletotrichum_lupini,,
